spectrum_name,soil_fraction
14deg_plot_11_08_0000 (2),0
14deg_plot_11_08_0000,0.226185086
14deg_plot_11_08_0001 (2),0
14deg_plot_11_08_0001,0.157576116
14deg_plot_11_08_0002 (2),0
14deg_plot_11_08_0002,0.233184745
14deg_plot_11_08_0003 (2),0
14deg_plot_11_08_0003,0.100379424
14deg_plot_11_08_0004 (2),0
14deg_plot_11_08_0004,0.097293289
14deg_plot_13_10_0000,0.245163955
14deg_plot_13_10_0001,0.604529301
14deg_plot_13_10_0002,0.314164061
14deg_plot_13_10_0003,0.163459815
14deg_plot_13_10_0004,0.524126648
14deg_plot_14_05_0000 (2),0.500534294
14deg_plot_14_05_0000,0.700115825
14deg_plot_14_05_0001 (2),0.398705585
14deg_plot_14_05_0001,0.633903175
14deg_plot_14_05_0002 (2),0.452493184
14deg_plot_14_05_0002,0.673510715
14deg_plot_14_05_0003 (2),0.424473729
14deg_plot_14_05_0003,0.60677191
14deg_plot_14_05_0004 (2),0.45711237
14deg_plot_14_05_0004,0.697029545
