fname,leaf,soil
14deg_plot_14_05_0000 (2),0.499465706,0.500534294
14deg_plot_14_05_0000,0.299884175,0.700115825
14deg_plot_14_05_0001 (2),0.601294415,0.398705585
14deg_plot_14_05_0001,0.366096825,0.633903175
14deg_plot_14_05_0002 (2),0.547506816,0.452493184
14deg_plot_14_05_0002,0.326489285,0.673510715
14deg_plot_14_05_0003 (2),0.575526271,0.424473729
14deg_plot_14_05_0003,0.39322809,0.60677191
14deg_plot_14_05_0004 (2),0.54288763,0.45711237
14deg_plot_14_05_0004,0.302970455,0.697029545
